Transaction ID,Buyer ID,Seller ID,Type of transaction,Currency,Cost
0,0,5,food,quipu,1.0
1,1,3,food,quipu,1.0
2,2,7,food,quipu,1.0
3,3,4,food,quipu,1.0
4,4,0,food,quipu,1.0
5,5,2,food,quipu,1.0
6,6,-1,food,money,1.0
7,7,1,food,quipu,1.0
8,8,3,food,quipu,1.0
9,9,2,food,quipu,1.0
10,0,1,food,quipu,1.0
11,1,2,food,quipu,1.0
12,2,4,food,quipu,1.0
13,3,7,food,quipu,1.0
14,4,9,food,quipu,1.0
15,5,1,food,quipu,1.0
16,6,-1,food,money,1.0
17,7,4,food,quipu,1.0
18,8,3,food,quipu,1.0
19,9,5,food,quipu,1.0
20,0,1,food,quipu,1.0
21,1,-1,food,money,1.0
22,2,8,food,quipu,1.0
23,3,8,food,quipu,1.0
24,4,1,food,quipu,1.0
25,5,6,food,quipu,1.0
26,6,5,food,quipu,1.0
27,7,9,food,quipu,1.0
28,8,7,food,quipu,1.0
29,9,5,food,quipu,1.0
30,0,6,food,quipu,1.0
31,1,8,food,quipu,1.0
32,2,-1,food,money,1.0
33,3,1,food,quipu,1.0
34,4,1,food,quipu,1.0
35,5,-1,food,money,1.0
36,6,9,food,quipu,1.0
37,7,5,food,quipu,1.0
38,8,-1,food,money,1.0
39,9,2,food,quipu,1.0
40,0,7,food,quipu,1.0
41,1,5,food,quipu,1.0
42,2,9,food,quipu,1.0
43,3,5,food,quipu,1.0
44,4,2,food,quipu,1.0
45,5,4,food,quipu,1.0
46,6,-1,food,money,1.0
47,7,3,food,quipu,1.0
48,8,7,food,quipu,1.0
49,9,0,food,quipu,1.0
50,0,-1,food,money,1.0
51,1,-1,food,money,1.0
52,2,1,food,quipu,1.0
53,3,9,food,quipu,1.0
54,4,1,food,quipu,1.0
55,5,6,food,quipu,1.0
56,6,2,food,quipu,1.0
57,7,3,food,quipu,1.0
58,8,2,food,quipu,1.0
59,9,3,food,quipu,1.0
60,0,-1,food,money,1.0
61,0,5,raw,quipu,1.0
62,1,3,food,quipu,1.0
63,1,-1,raw,money,1.0
64,2,7,food,quipu,1.0
65,2,6,raw,quipu,1.0
66,3,-1,food,money,1.0
67,3,-1,raw,money,1.0
68,4,-1,food,money,1.0
69,4,-1,raw,money,1.0
70,5,8,food,quipu,1.0
71,5,6,raw,quipu,1.0
72,6,4,food,quipu,1.0
73,6,-1,raw,money,1.0
74,7,9,food,quipu,1.0
75,7,5,raw,quipu,1.0
76,8,4,food,quipu,1.0
77,8,-1,raw,money,1.0
78,9,2,food,quipu,1.0
79,9,-1,raw,money,1.0
80,0,1,food,quipu,1.0
81,1,7,food,quipu,1.0
82,2,6,food,quipu,1.0
83,3,0,food,quipu,1.0
84,4,-1,food,money,1.0
85,5,3,food,quipu,1.0
86,6,5,food,quipu,1.0
87,7,9,food,quipu,1.0
88,8,3,food,quipu,1.0
89,9,2,food,quipu,1.0
90,0,-1,food,money,1.0
91,1,5,food,quipu,1.0
92,2,4,food,quipu,1.0
93,3,-1,food,money,1.0
94,4,9,food,quipu,1.0
95,5,8,food,quipu,1.0
96,6,2,food,quipu,1.0
97,7,-1,food,money,1.0
98,8,6,food,quipu,1.0
99,9,4,food,quipu,1.0
100,0,6,food,quipu,1.0
101,1,-1,food,money,1.0
102,2,5,food,quipu,1.0
103,3,7,food,quipu,1.0
104,4,5,food,quipu,1.0
105,5,8,food,quipu,1.0
106,6,0,food,quipu,1.0
107,7,8,food,quipu,1.0
108,8,4,food,quipu,1.0
109,9,4,food,quipu,1.0
