Transaction ID,Buyer ID,Seller ID,Type of transaction,Currency,Failure from Buyer,Failure from Seller
0,0,7,food,money,,1.0
1,1,6,food,money,,1.0
2,2,-1,food,money,1,
3,3,5,food,money,,1.0
4,4,8,food,money,,1.0
5,5,9,food,money,,1.0
6,6,-1,food,money,1,
7,7,5,food,money,,1.0
8,8,5,food,money,,1.0
9,9,8,food,money,,1.0
10,0,2,food,money,,1.0
11,1,5,food,money,,1.0
12,2,5,food,money,,1.0
13,3,7,food,money,,1.0
14,4,2,food,money,,1.0
15,5,0,food,money,,1.0
16,6,4,food,money,,1.0
17,7,3,food,money,,1.0
18,8,1,food,money,,1.0
19,9,5,food,money,,1.0
20,0,2,food,money,,1.0
21,1,0,food,money,,1.0
22,2,-1,food,money,1,
23,3,4,food,money,,1.0
24,4,6,food,money,,1.0
25,5,3,food,money,,1.0
26,6,3,food,money,,1.0
27,7,9,food,money,,1.0
28,8,4,food,money,,1.0
29,9,6,food,money,,1.0
30,0,5,food,money,,1.0
31,1,5,food,money,,1.0
32,2,5,food,money,,1.0
33,3,-1,food,money,1,
34,4,0,food,money,,1.0
35,5,9,food,money,,1.0
36,6,4,food,money,,1.0
37,7,5,food,money,,1.0
38,8,0,food,money,,1.0
39,9,3,food,money,,1.0
40,0,-1,food,money,1,
41,1,9,food,money,,1.0
42,2,3,food,money,,1.0
43,3,4,food,money,,1.0
44,4,6,food,money,,1.0
45,5,8,food,money,,1.0
46,6,5,food,money,,1.0
47,7,1,food,money,,1.0
48,8,0,food,money,,1.0
49,9,0,food,money,,1.0
50,0,5,food,money,,1.0
51,1,5,food,money,,1.0
52,2,8,food,money,,1.0
53,3,0,food,money,,1.0
54,4,9,food,money,,1.0
55,5,9,food,money,,1.0
56,6,8,food,money,,1.0
57,7,5,food,money,,1.0
58,8,3,food,money,,1.0
59,9,-1,food,money,1,
60,0,4,food,money,,1.0
61,0,-1,raw,money,1,-1
62,1,-1,food,money,1,
63,1,-1,raw,money,1,-1
64,2,4,food,money,,1.0
65,2,9,food,money,,-1
66,3,1,food,money,,1.0
67,3,-1,raw,money,1,-1
68,4,1,food,money,,1.0
69,4,-1,raw,money,1,-1
70,5,7,food,money,,1.0
71,5,-1,raw,money,1,-1
72,6,2,food,money,,1.0
73,6,-1,raw,money,1,-1
74,7,0,food,money,,1.0
75,7,-1,raw,money,1,-1
76,8,0,food,money,,1.0
77,8,-1,raw,money,1,-1
78,9,0,food,money,,1.0
79,9,0,food,money,,-1
80,0,2,food,money,,1.0
81,1,2,food,money,,1.0
82,2,9,food,money,,1.0
83,3,0,food,money,,1.0
84,4,-1,food,money,1,
85,5,4,food,money,,1.0
86,6,3,food,money,,1.0
87,7,2,food,money,,1.0
88,8,2,food,money,,1.0
89,9,0,food,money,,1.0
90,0,8,food,money,,1.0
91,1,5,food,money,,1.0
92,2,4,food,money,,1.0
93,3,2,food,money,,1.0
94,4,1,food,money,,1.0
95,5,8,food,money,,1.0
96,6,3,food,money,,1.0
97,7,1,food,money,,1.0
98,8,7,food,money,,1.0
99,9,1,food,money,,1.0
100,0,9,food,money,,1.0
101,1,7,food,money,,1.0
102,2,3,food,money,,1.0
103,3,8,food,money,,1.0
104,4,1,food,money,,1.0
105,5,1,food,money,,1.0
106,6,-1,food,money,1,
107,7,-1,food,money,1,
108,8,4,food,money,,1.0
109,9,6,food,money,,1.0
