Transaction ID,Buyer ID,Seller ID,Type of transaction,Currency,Failure from Buyer,Failure from Seller
0,0,5,food,quipu,,1.0
1,1,6,food,quipu,,1.0
2,2,-1,food,money,1,1.0
3,3,-1,food,money,1,1.0
4,4,0,food,quipu,,1.0
5,5,9,food,quipu,,1.0
6,6,3,food,quipu,,1.0
7,7,3,food,quipu,,1.0
8,8,9,food,quipu,,1.0
9,9,1,food,quipu,,1.0
10,0,1,food,quipu,,1.0
11,1,5,food,quipu,,1.0
12,2,8,food,quipu,,1.0
13,3,8,food,quipu,,1.0
14,4,2,food,quipu,,1.0
15,5,1,food,quipu,,1.0
16,6,5,food,quipu,,1.0
17,7,6,food,quipu,,1.0
18,8,6,food,quipu,,1.0
19,9,4,food,quipu,,1.0
20,0,3,food,quipu,-1,
21,1,5,food,quipu,,1.0
22,2,4,food,quipu,,1.0
23,3,1,food,quipu,,1.0
24,4,7,food,quipu,,1.0
25,5,3,food,quipu,,1.0
26,6,7,food,quipu,,1.0
27,7,2,food,quipu,,1.0
28,8,2,food,quipu,,1.0
29,9,8,food,quipu,,1.0
30,0,8,food,quipu,-1,
31,1,8,food,quipu,,1.0
32,2,3,food,quipu,,1.0
33,3,2,food,quipu,,1.0
34,4,6,food,quipu,,1.0
35,5,8,food,quipu,,1.0
36,6,5,food,quipu,,1.0
37,7,5,food,quipu,,1.0
38,8,3,food,quipu,,1.0
39,9,2,food,quipu,,1.0
40,0,2,food,quipu,-1,
41,1,4,food,quipu,,1.0
42,2,9,food,quipu,,1.0
43,3,0,food,quipu,,1.0
44,4,8,food,quipu,,1.0
45,5,-1,food,money,1,1.0
46,6,4,food,quipu,,1.0
47,7,6,food,quipu,,1.0
48,8,-1,food,money,1,1.0
49,9,8,food,quipu,,1.0
50,0,3,food,quipu,,1.0
51,1,2,food,quipu,,1.0
52,2,9,food,quipu,,1.0
53,3,7,food,quipu,,1.0
54,4,6,food,quipu,,1.0
55,5,3,food,quipu,,1.0
56,6,4,food,quipu,,1.0
57,7,1,food,quipu,,1.0
58,8,5,food,quipu,,1.0
59,9,3,food,quipu,,1.0
60,0,5,food,quipu,-1,
61,0,4,food,quipu,-1,
62,1,9,food,quipu,,1.0
63,1,-1,raw,money,1,1.0
64,2,3,food,quipu,,1.0
65,2,-1,raw,money,1,1.0
66,3,2,food,quipu,,1.0
67,3,7,food,quipu,,-1
68,4,2,food,quipu,,1.0
69,4,1,food,quipu,,1.0
70,5,0,food,quipu,,1.0
71,5,-1,raw,money,1,1.0
72,6,7,food,quipu,,1.0
73,6,-1,raw,money,1,1.0
74,7,0,food,quipu,,1.0
75,7,4,food,quipu,,1.0
76,8,6,food,quipu,,1.0
77,8,-1,raw,money,1,1.0
78,9,1,food,quipu,,1.0
79,9,3,food,quipu,,-1
80,0,7,food,quipu,,1.0
81,1,6,food,quipu,,1.0
82,2,9,food,quipu,,1.0
83,3,8,food,quipu,,1.0
84,4,8,food,quipu,,1.0
85,5,6,food,quipu,,1.0
86,6,4,food,quipu,,1.0
87,7,5,food,quipu,,1.0
88,8,3,food,quipu,,1.0
89,9,8,food,quipu,,1.0
90,0,8,food,quipu,,1.0
91,1,-1,food,money,1,1.0
92,2,-1,food,money,1,1.0
93,3,-1,food,money,1,1.0
94,4,-1,food,money,1,1.0
95,5,7,food,quipu,,1.0
96,6,-1,food,money,1,1.0
97,7,1,food,quipu,,1.0
98,8,2,food,quipu,,1.0
99,9,8,food,quipu,,1.0
100,0,1,food,quipu,-1,
101,1,6,food,quipu,,1.0
102,2,7,food,quipu,,1.0
103,3,6,food,quipu,,1.0
104,4,2,food,quipu,,1.0
105,5,-1,food,money,1,1.0
106,6,9,food,quipu,,1.0
107,7,4,food,quipu,,1.0
108,8,0,food,quipu,,1.0
109,9,0,food,quipu,,1.0
110,0,4,food,quipu,,1.0
111,1,7,food,quipu,,1.0
112,2,5,food,quipu,,1.0
113,3,-1,food,money,1,1.0
114,4,7,food,quipu,,1.0
115,5,0,food,quipu,,1.0
116,6,2,food,quipu,,1.0
117,7,2,food,quipu,,1.0
118,8,9,food,quipu,,1.0
119,9,6,food,quipu,,1.0
120,0,7,food,quipu,,1.0
121,1,7,food,quipu,,1.0
122,2,3,food,quipu,,1.0
123,3,6,food,quipu,,1.0
124,4,6,food,quipu,,1.0
125,5,4,food,quipu,,1.0
126,6,7,food,quipu,,1.0
127,7,5,food,quipu,,1.0
128,8,0,food,quipu,,1.0
129,9,3,food,quipu,,1.0
130,0,8,food,quipu,,1.0
131,1,2,food,quipu,,1.0
132,2,-1,food,money,1,1.0
133,3,8,food,quipu,,1.0
134,4,2,food,quipu,,1.0
135,5,2,food,quipu,,1.0
136,6,7,food,quipu,,1.0
137,7,9,food,quipu,,1.0
138,8,7,food,quipu,,1.0
139,9,5,food,quipu,,1.0
140,0,-1,food,money,1,1.0
141,0,-1,raw,money,1,1.0
142,1,0,food,quipu,,1.0
143,1,-1,raw,money,1,1.0
144,2,0,food,quipu,,1.0
145,2,1,food,quipu,,1.0
146,3,1,food,quipu,,1.0
147,3,-1,raw,money,1,1.0
148,4,2,food,quipu,,1.0
149,4,-1,raw,money,1,1.0
150,5,1,food,quipu,,1.0
151,5,-1,raw,money,1,1.0
152,6,-1,food,money,1,1.0
153,6,-1,raw,money,1,1.0
154,7,1,food,quipu,,1.0
155,7,-1,raw,money,1,1.0
156,8,6,food,quipu,,1.0
157,8,-1,raw,money,1,1.0
158,9,8,food,quipu,,1.0
159,9,1,food,quipu,,-1
160,0,9,food,quipu,,1.0
161,1,-1,food,money,1,1.0
162,2,-1,food,money,1,1.0
163,3,7,food,quipu,,1.0
164,4,0,food,quipu,,1.0
165,5,8,food,quipu,,1.0
166,6,2,food,quipu,,1.0
167,7,4,food,quipu,,1.0
168,8,0,food,quipu,,1.0
169,9,4,food,quipu,,1.0
170,0,-1,food,money,1,1.0
171,1,0,food,quipu,,1.0
172,2,7,food,quipu,,1.0
173,3,8,food,quipu,,1.0
174,4,1,food,quipu,,1.0
175,5,7,food,quipu,,1.0
176,6,9,food,quipu,,1.0
177,7,-1,food,money,1,1.0
178,8,9,food,quipu,,1.0
179,9,5,food,quipu,,1.0
180,0,6,food,quipu,,1.0
181,1,3,food,quipu,,1.0
182,2,7,food,quipu,,1.0
183,3,8,food,quipu,,1.0
184,4,1,food,quipu,,1.0
